Study_ID,Site_ID,Exp_ID,Study_Code,Study_title,Country,Site,Vector,Vector_subtype,Lat,Long,Method_screen,n_total,n_human,n_mammPet,n_mammFarmed,n_mammWild,n_birdDomest,n_birdWild,n_others,n_birdZoo,n_mammZoo,n_unidentified,...1.y,bio1_b10,bio12_b10,bio14_b10,bio15_b10,bio1_b20,bio12_b20,bio14_b20,bio15_b20,elevation,cropland_b10,water_b10,urban_b10,grassland_b10,treecover_b10,shrubland_b10,cropland_b20,water_b20,urban_b20,grassland_b20,treecover_b20,shrubland_b20,realm,NDVI.mean,NDVI.SD,glw3_buffalo_b10,glw3_cattle_b10,glw3_chicken_b10,glw3_duck_b10,glw3_horse_b10,glw3_goat_b10,glw3_pig_b10,glw3_sheep_b10,glw3_buffalo_b20,glw3_cattle_b20,glw3_chicken_b20,glw3_duck_b20,glw3_horse_b20,glw3_goat_b20,glw3_pig_b20,glw3_sheep_b20,gpw4_human_b10,gpw4_human_b20,glw3_sheep.goat_b10,glw3_cattle2_b10,glw3_ruminant_b10,glw3_poultry_b10,glw3_livestock_b10,glw3_sheep.goat_b20,glw3_cattle2_b20,glw3_ruminant_b20,glw3_poultry_b20,glw3_livestock_b20,landcov_PC1,landcov_PC2,farmed_PC1,farmed_PC2
P_95,S_183,E_118,stenn_2019_vertebrate_hosts_of,"Vertebrate_Hosts_of_Aedes_aegypti,_Aedes_albopictus,_and_Culex_quinquefasciatus_(Diptera:_Culicidae)_as_Potential_Vectors_of_Zika_Virus_in_Florida",USA,"Indian_River_County,_Florida",Ae. aegypti,NA,27.888,-80.512,DNA,123,111,0,0,0,0,1,11,0,0,0,1,22.4,1258,43,37,22.4,1258,43,37,8,0.020889127,0.415907874,0.10230316,0.081414033,0.064809855,0.003481521,0.005227532,0.104081496,0.025601501,0.115608873,0.043160646,0.002479727,Nearctic,2263,4425,0,706.6901221,766.7773545,10.82258771,77.57774884,13.36882848,8.015540291,17.17613169,0,706.6901221,766.7773545,10.82258771,77.57774884,13.36882848,8.015540291,17.17613169,1372.581665,1372.581665,30.54496017,706.6901221,737.2350823,777.5999422,822.8283714,30.54496017,706.6901221,737.2350823,777.5999422,822.8283714,0.680479496,0.261263398,0.053033979,-0.22688588
P_95,S_182,E_115,stenn_2019_vertebrate_hosts_of,"Vertebrate_Hosts_of_Aedes_aegypti,_Aedes_albopictus,_and_Culex_quinquefasciatus_(Diptera:_Culicidae)_as_Potential_Vectors_of_Zika_Virus_in_Florida",USA,Florida_Martin_County,Ae. aegypti,NA,27.597,-80.538,DNA,13,8,0,0,0,0,0,5,0,0,0,2,22.6,1272,46,42,22.6,1272,46,42,10,0.031426269,0.012624228,0.063389739,0.030620467,0.020145044,0.001880204,0.007859734,0.003157329,0.015853822,0.105333871,0.030095392,0.001142013,Nearctic,5699,1216,0,1737.163043,89.72130475,3.055165464,291.6189276,9.634872451,10.55384809,19.27100579,0,1737.163043,89.72130475,3.055165464,291.6189276,9.634872451,10.55384809,19.27100579,0.346973151,0.346973151,28.90587824,1737.163043,1766.068921,92.77647021,2068.241697,28.90587824,1737.163043,1766.068921,92.77647021,2068.241697,-0.374780333,-0.181241484,0.071488668,-0.308747711
P_95,S_183,E_119,stenn_2019_vertebrate_hosts_of,"Vertebrate_Hosts_of_Aedes_aegypti,_Aedes_albopictus,_and_Culex_quinquefasciatus_(Diptera:_Culicidae)_as_Potential_Vectors_of_Zika_Virus_in_Florida",USA,"Indian_River_County,_Florida",Ae. albopictus,NA,27.888,-80.512,DNA,64,59,0,0,5,0,0,0,0,0,0,1,22.4,1258,43,37,22.4,1258,43,37,8,0.020889127,0.415907874,0.10230316,0.081414033,0.064809855,0.003481521,0.005227532,0.104081496,0.025601501,0.115608873,0.043160646,0.002479727,Nearctic,2263,4425,0,706.6901221,766.7773545,10.82258771,77.57774884,13.36882848,8.015540291,17.17613169,0,706.6901221,766.7773545,10.82258771,77.57774884,13.36882848,8.015540291,17.17613169,1372.581665,1372.581665,30.54496017,706.6901221,737.2350823,777.5999422,822.8283714,30.54496017,706.6901221,737.2350823,777.5999422,822.8283714,0.680479496,0.261263398,0.053033979,-0.22688588
P_95,S_183,E_120,stenn_2019_vertebrate_hosts_of,"Vertebrate_Hosts_of_Aedes_aegypti,_Aedes_albopictus,_and_Culex_quinquefasciatus_(Diptera:_Culicidae)_as_Potential_Vectors_of_Zika_Virus_in_Florida",USA,"Indian_River_County,_Florida",Cx. pipiens complex,Cx_quinquefasciatus,27.888,-80.512,DNA,42,33,0,0,5,0,4,0,0,0,0,1,22.4,1258,43,37,22.4,1258,43,37,8,0.020889127,0.415907874,0.10230316,0.081414033,0.064809855,0.003481521,0.005227532,0.104081496,0.025601501,0.115608873,0.043160646,0.002479727,Nearctic,2263,4425,0,706.6901221,766.7773545,10.82258771,77.57774884,13.36882848,8.015540291,17.17613169,0,706.6901221,766.7773545,10.82258771,77.57774884,13.36882848,8.015540291,17.17613169,1372.581665,1372.581665,30.54496017,706.6901221,737.2350823,777.5999422,822.8283714,30.54496017,706.6901221,737.2350823,777.5999422,822.8283714,0.680479496,0.261263398,0.053033979,-0.22688588
P_95,S_182,E_117,stenn_2019_vertebrate_hosts_of,"Vertebrate_Hosts_of_Aedes_aegypti,_Aedes_albopictus,_and_Culex_quinquefasciatus_(Diptera:_Culicidae)_as_Potential_Vectors_of_Zika_Virus_in_Florida",USA,Florida_Martin_County,Cx. pipiens complex,Cx_quinquefasciatus,27.597,-80.538,DNA,18,2,2,0,3,0,9,2,0,0,0,2,22.6,1272,46,42,22.6,1272,46,42,10,0.031426269,0.012624228,0.063389739,0.030620467,0.020145044,0.001880204,0.007859734,0.003157329,0.015853822,0.105333871,0.030095392,0.001142013,Nearctic,5699,1216,0,1737.163043,89.72130475,3.055165464,291.6189276,9.634872451,10.55384809,19.27100579,0,1737.163043,89.72130475,3.055165464,291.6189276,9.634872451,10.55384809,19.27100579,0.346973151,0.346973151,28.90587824,1737.163043,1766.068921,92.77647021,2068.241697,28.90587824,1737.163043,1766.068921,92.77647021,2068.241697,-0.374780333,-0.181241484,0.071488668,-0.308747711
P_50,S_97,E_226,kek_2014_feeding_host_range,Feeding_Host_Range_of_Aedes_albopictus_(Diptera:_Culicidae)_Demonstrates_Its_Opportunistic_Host-Seeking_Behavior_in_Rural_Singapore,Singapore,Sungei_Buloh,Ae. albopictus,NA,1.312,103.732,DNA,68,61,2,0,5,0,0,0,0,0,6,3,26.8,2376,158,20,26.8,2376,158,20,9,0.156259427,0.293514329,0.322171946,0,0.091101056,0,0.039168242,0.073572779,0.080756144,0,0.071531191,0,Oriental,1610,3997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5659.397461,5659.397461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58490905,0.101453691,6.0380833961857e-16,1.37685254930993e-15
P_50,S_98,E_227,kek_2014_feeding_host_range,Feeding_Host_Range_of_Aedes_albopictus_(Diptera:_Culicidae)_Demonstrates_Its_Opportunistic_Host-Seeking_Behavior_in_Rural_Singapore,Singapore,Urban,Ae. albopictus,NA,1.315833333,103.7713333,DNA,12,12,0,0,0,0,0,0,0,0,0,4,26.8,2376,158,20,26.8,2376,158,20,22,0.130855243,0.261106074,0.38712602,0,0.105772137,0,0.0327237,0.065296252,0.096810762,0,0.066429867,0,Oriental,2285,3761,0,41.01243391,617290.7062,146193.5831,57.34287051,10.74236526,65336.3781,325.5449107,0,41.01243391,617290.7062,146193.5831,57.34287051,10.74236526,65336.3781,325.5449107,8058.111328,8058.111328,336.287276,41.01243391,377.2997099,763484.2893,65771.02068,336.287276,41.01243391,377.2997099,763484.2893,65771.02068,0.4801708,0.028897678,-4.634112864,1.47098998
P_18,S_43,E_159,dennett_2007_associations_between_two,"Associations_between_two_mosquito_populations_and_West_Nile_virus_in_Harris_County,_Texas,_2003-06",USA,"Harris_County’s_Interstate_Highway_610,_Texas_",Cx. pipiens complex,Cx_quinquefasciatus,29.799,-95.311,DNA,53,5,16,0,1,3,28,0,0,0,0,5,20.5,1208,69,20,20.5,1208,69,20,19,0.031842105,0.002631579,0.857631579,0.041842105,0.008157895,0.000263158,0.007963146,0.000658111,0.214478447,0.0680487,0.014544258,0.000855545,Nearctic,4079,1572,594.4217282,385.9776884,46.6094082,15.24262286,267.1755421,58.50218772,10.25209687,28.44688023,594.4217282,385.9776884,46.6094082,15.24262286,267.1755421,58.50218772,10.25209687,28.44688023,2106.202393,2106.202393,86.94906795,980.3994166,1067.348485,61.85203106,1344.776124,86.94906795,980.3994166,1067.348485,61.85203106,1344.776124,-0.072933763,-0.886457249,0.046631169,-0.573519301
P_88,S_162,E_93,reeves_2022_lizards_are_important,"Lizards_Are_Important_Hosts_for_Zoonotic_Flavivirus_Vectors,_Subgenus_Culex,_in_the_Southern_USA",USA,Alachua_NATL,Cx. pipiens complex,Cx_quinquefasciatus,29.632,-82.37,DNA,434,1,21,1,40,30,338,3,0,0,0,6,20.5,1347,57,41,20.5,1347,57,41,38,0.004214963,0.001844046,0.20890411,0.06796628,0.037934668,0.001317176,0.001055339,0.000461711,0.052305257,0.123408746,0.064639536,0.005870325,Nearctic,6647,1310,0,965.8711672,18.22187238,1.382597983,384.5184814,148.9455653,13.93600045,20.16884699,0,965.8711672,18.22187238,1.382597983,384.5184814,148.9455653,13.93600045,20.16884699,1910.377808,1910.377808,169.1144123,965.8711672,1134.985579,19.60447036,1533.440061,169.1144123,965.8711672,1134.985579,19.60447036,1533.440061,-0.447323761,-0.290252484,0.066417624,-0.379917216
P_5,S_112,E_16,baak-baak_2018_Human_blood_as,"Human_blood_as_the_only_source_of_Aedes_aegypti_in_churches_from_Merida,_Yucatan,_Mexico",Mexico,Merida_city,Ae. aegypti,NA,20.94966667,-89.618,DNA,224,224,0,0,0,0,0,0,0,0,0,7,25.8,990,18,70,25.8,990,18,70,11,0.099320883,0.000565931,0.556876061,0.074702886,0.239105829,0,0.024798643,0.000141303,0.139041967,0.038928925,0.643563657,0,Panamanian,4760,2090,0,340.2886834,212063.2167,15.03567291,22.55370268,194.3609605,6399.085002,821.5332909,0,340.2886834,212063.2167,15.03567291,22.55370268,194.3609605,6399.085002,821.5332909,7269.67627,7269.67627,1015.894251,340.2886834,1356.182935,212078.2524,7777.821639,1015.894251,340.2886834,1356.182935,212078.2524,7777.821639,-0.221273075,-0.293904675,-0.455945497,0.060259543
