"","Study_ID","Site_ID","Exp_ID","Study_Code","Study_title","Country","Site","Vector","Vector_subtype","Lat","Long","Method_screen","Indoors_Outside","n_total","n_human","n_mammPet","n_mammFarmed","n_mammWild","n_birdDomest","n_birdWild","n_others","n_birdZoo","n_mammZoo","n_unidentified","bio1_b10","bio12_b10","bio14_b10","bio15_b10","bio1_b20","bio12_b20","bio14_b20","bio15_b20","elevation","cropland_b10","water_b10","urban_b10","grassland_b10","treecover_b10","shrubland_b10","cropland_b20","water_b20","urban_b20","grassland_b20","treecover_b20","shrubland_b20","realm","NDVI.mean","NDVI.SD","glw3_buffalo_b10","glw3_cattle_b10","glw3_chicken_b10","glw3_duck_b10","glw3_horse_b10","glw3_goat_b10","glw3_pig_b10","glw3_sheep_b10","glw3_buffalo_b20","glw3_cattle_b20","glw3_chicken_b20","glw3_duck_b20","glw3_horse_b20","glw3_goat_b20","glw3_pig_b20","glw3_sheep_b20","glw3_sheep.goat_b10","glw3_cattle2_b10","glw3_ruminant_b10","glw3_poultry_b10","glw3_livestock_b10","glw3_sheep.goat_b20","glw3_cattle2_b20","glw3_ruminant_b20","glw3_poultry_b20","glw3_livestock_b20","gpw4_human_b10","gpw4_human_b20","landcov_PC1","landcov_PC2","farmed_PC1","farmed_PC2"
"1","P_1","S_1","E_1","campbell_2013_host-selection_patterns_of","Host-Selection Patterns of Culex tarsalis (Diptera: Culicidae) Determine the Spatial Heterogeneity of West Nile Virus Enzootic Activity in Northern California","USA","Sutter County","Cx. pipiens complex","Cx_pipiens_sl",38.916,-121.595333333333,"DNA","Outside",151,2,0,0,0,22,127,0,0,0,27,16.5,491,1,85,16.5,491,1,85,9,0.0299881936245573,0.0144037780401417,0.00165289256198347,0.00684769775678867,0.000944510035419126,0,0.00750635380341628,0.00360541403156215,0.000413736036408771,0.103611324546368,0.000886577220875938,0.000236420592233584,"Nearctic",4690,2318,0,101.583503349776,4.94713146101246e-08,17.5443364702547,17.8746883412145,32.40351458886,1.17939691486426,267.719017729697,0,101.583503349776,4.94713146101246e-08,17.5443364702547,17.8746883412145,32.40351458886,1.17939691486426,267.719017729697,300.122532318557,101.583503349776,401.706035668333,17.544336519726,420.760120924412,300.122532318557,101.583503349776,401.706035668333,17.544336519726,420.760120924412,20.8201465606689,20.8201465606689,0.099913894621862,0.0381419917253435,-0.0598780800597811,-0.208941840568474
"2","P_1","S_2","E_2","cardo_2023_blood_feeding_patterns","Blood feeding patterns of the Culex pipiens complex in equestrian land uses and their implications for arboviral encephalitis risk in temperate Argentina","Argentina",NA,"Cx. pipiens complex","Cx_pipiens_f_molestus",-34.609,-59.006,"DNA","Outside",73,0,16,10,0,6,41,0,0,0,0,16.4,1041,56,23,16.4,1041,56,23,33,0.403802852139104,0.000500375281461096,0.0617963472604453,0.0482862146609957,0.255441581185889,0.0167625719289467,0.100830886487162,0.000124945336415318,0.0154307490472918,0.0407946523396014,0.28181420628475,0.0172424564253139,"Neotropical",6014,1350,12.8580534900623,2487.21083917834,226243.925184865,901.162454291224,56.5323106157165,24.2821378890675,688.670680607226,16.2809892761906,12.8580534900623,2487.21083917834,226243.925184865,901.162454291224,56.5323106157165,24.2821378890675,688.670680607226,16.2809892761906,40.5631271652581,2500.0688926684,2540.63201983366,227145.087639156,3285.8350110566,40.5631271652581,2500.0688926684,2540.63201983366,227145.087639156,3285.8350110566,243.981185913086,243.981185913086,0.572510712153289,-0.1639840994815,-0.247110167647108,0.105531107970661
"3","P_1","S_3","E_3","chiuya_2021_a_survey_of","A survey of mosquito-borne and insect-specific viruses in hospitals and livestock markets in western Kenya","Kenya","Bungoma Referral Hospital","Cx. pipiens complex","Cx_pipiens_f_molestus",0.571,34.56,"DNA",NA,7,5,1,0,0,1,0,0,0,0,0,20.8,1659,47,39,20.8,1659,47,39,1424,0.974607013301088,0,0.00695284159613059,0,0.0169286577992745,0,0.243670168543572,0,0.00173834177310861,0,0.0143602146474189,0,"Afrotropical",6369,643,0,14498.828912981,76317.450665039,1837.7597303908,0,5292.12468459961,1373.95474582709,2453.11912654319,0,14498.828912981,76317.450665039,1837.7597303908,0,5292.12468459961,1373.95474582709,2453.11912654319,7745.24381114279,14498.828912981,22244.0727241238,78155.2103954298,23618.0274699509,7745.24381114279,14498.828912981,22244.0727241238,78155.2103954298,23618.0274699509,3534.93017578125,3534.93017578125,0.820576555358859,-0.0854685846789126,0.855334820605139,0.800155827033811
"4","P_1","S_4","E_4","chiuya_2021_a_survey_of","A survey of mosquito-borne and insect-specific viruses in hospitals and livestock markets in western Kenya","Kenya","Busia Referral Hospital","Cx. pipiens complex","Cx_pipiens_f_molestus",0.465,34.102,"DNA",NA,7,7,0,0,0,0,0,0,0,0,0,22.2,1577,60,40,22.2,1577,60,40,1196,0.985191900876398,0,0.0123904502870958,0,0.0024176488365065,0,0.246409674981104,0,0.00309901738473167,0,0.0162509448223734,0.000151171579743008,"Afrotropical",6722,699,0,8596.78153270138,49805.2874049037,929.624740254531,0,2324.60494720305,2462.63176214958,1727.40780498868,0,8596.78153270138,49805.2874049037,929.624740254531,0,2324.60494720305,2462.63176214958,1727.40780498868,4052.01275219173,8596.78153270138,12648.7942848931,50734.9121451583,15111.4260470427,4052.01275219173,8596.78153270138,12648.7942848931,50734.9121451583,15111.4260470427,3167.69580078125,3167.69580078125,0.843822743232414,-0.085935992125086,0.38150399681469,0.370671209304472
"5","P_1","S_7","E_7","chiuya_2021_a_survey_of","A survey of mosquito-borne and insect-specific viruses in hospitals and livestock markets in western Kenya","Kenya","Matungu sub-County Hospital","Cx. pipiens complex","Cx_pipiens_f_molestus",0.377,34.487,"DNA",NA,11,10,0,0,0,1,0,0,0,0,1,21.8,1717,50,40,21.8,1717,50,40,1318,0.936781609195402,0,0.00302480338777979,0,0.00393224440411373,0.000907441016333938,0.234089191232048,0,0.000755857898715042,0,0.00529100529100529,0.000226757369614512,"Afrotropical",6400,648,0,9090.3586588986,44336.8628069828,1007.69202964191,0,1361.58699868695,419.793227914821,1633.74783449816,0,9090.3586588986,44336.8628069828,1007.69202964191,0,1361.58699868695,419.793227914821,1633.74783449816,2995.3348331851,9090.3586588986,12085.6934920837,45344.5548366247,12505.4867199985,2995.3348331851,9090.3586588986,12085.6934920837,45344.5548366247,12505.4867199985,656.265075683594,656.265075683594,0.80710018246307,-0.0659557454974649,0.342859909400981,0.258097299451762
"6","P_1","S_9","E_9","ejiri_2011_entomological_study_on","Entomological Study on Transmission of Avian Malaria Parasites in a Zoological Garden in Japan: Bloodmeal Identification and Detection of Avian Malaria Parasite DNA From Blood-Fed Mosquitoes","Japan","Ueno Zoological Gardens in Tokyo","Cx. pipiens complex","Cx_pipiens_f_pallens",35.714,139.774,"DNA","Outside",77,0,0,15,0,0,5,57,52,5,54,15.4,1429,46,41,15.4,1429,46,41,13,0.0106304079110012,0.0714462299134734,0.902843016069221,0.000494437577255871,0.0034610630407911,0,0.00264941466420209,0.0178065311152187,0.225015403573629,0.000492914356130622,0.00203327171903882,0,"Sino-Japanese",2104,1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17944.802734375,17944.802734375,-0.204525358873479,0.998289286248081,-0.0708907524229942,-0.213171361595841
"7","P_1","S_10","E_10","faraji_2014_comparative_host_feeding","Comparative_Host_Feeding_Patterns_of_the_Asian_Tiger_Mosquito,_Aedes_albopictus,_in_Urban_and_Suburban_Northeastern_USA_and_Implications_for_Disease_Transmission","USA","Monmouth_County,_New_Jersey","Cx. pipiens complex","Cx_pipiens_f_pipiens",40.733,-74.283,"DNA","Outside",82,0,2,0,1,0,79,0,0,0,0,11.1,1224,80,10,11.1,1224,80,10,73,0.000230627306273063,0.0080719557195572,0.625461254612546,0.0456642066420664,0.172970479704797,0.00392066420664207,5.75904169546187e-05,0.00201566459341166,0.156185210780926,0.0444022114720111,0.158834369960839,0.00535590877677954,"Nearctic",4183,2752,0,130.544037899571,855.955719565473,66.2228857819224,528.446700099089,32.6082151507595,60.2537824534526,35.9520235473688,0,130.544037899571,855.955719565473,66.2228857819224,528.446700099089,32.6082151507595,60.2537824534526,35.9520235473688,68.5602386981283,130.544037899571,199.1042765977,922.178605347395,787.804759150241,68.5602386981283,130.544037899571,199.1042765977,922.178605347395,787.804759150241,1342.47290039062,1342.47290039062,-0.0625882640797347,0.401965891419951,-0.231395224797637,-0.503943820048633
"8","P_1","S_11","E_11","faraji_2014_comparative_host_feeding","Comparative_Host_Feeding_Patterns_of_the_Asian_Tiger_Mosquito,_Aedes_albopictus,_in_Urban_and_Suburban_Northeastern_USA_and_Implications_for_Disease_Transmission","USA","Mercer_County,_New_Jersey","Cx. pipiens complex","Cx_pipiens_f_pipiens",40.217,-74.733,"DNA","Outside",45,0,1,0,6,0,38,0,0,0,0,11.5,1142,74,14,11.5,1142,74,14,19,0.00441449814126394,0.0608736059479554,0.490009293680297,0.0773698884758364,0.200046468401487,0.000697026022304833,0.00110253583241455,0.0152033888469796,0.122381477398015,0.128706551383973,0.369175419253757,0.000406197411942204,"Nearctic",5213,2030,0,43.8691182593443,178.588678168694,34.6737691211599,119.235387855435,11.804922733744,80.373158693194,54.8679580677189,0,43.8691182593443,178.588678168694,34.6737691211599,119.235387855435,11.804922733744,80.373158693194,54.8679580677189,66.6728808014629,43.8691182593443,110.541999060807,213.262447289854,310.150545609436,66.6728808014629,43.8691182593443,110.541999060807,213.262447289854,310.150545609436,6289.5869140625,6289.5869140625,0.12979797092863,0.315264964372591,-0.10569366771086,-0.274957870121444
"9","P_1","S_12","E_12","hamer_2008_culex_pipiens_(diptera","Culex pipiens (Diptera : Culicidae): A bridge vector of West Nile virus to humans","USA","southwest suburban Chicago","Cx. pipiens complex","Cx_pipiens_sl",41.784,-87.717,"DNA","Outside",245,44,1,0,9,0,191,0,0,0,0,10,929,36,28,10,929,36,28,188,0.0104379396414795,0.00045382346267302,0.968459269344225,0.00408441116405718,0.00476514635806671,0.00022691173133651,0.0026091888825865,0.000113442994895065,0.242087351106069,0.0134429948950652,0.0644356211003971,0.000510493477027794,"Nearctic",2727,1917,0,0,44.7008920929259,1.59753173579353,62.5191162528282,1.66502129706604,93.1619520976108,20.439079713908,0,0,44.7008920929259,1.59753173579353,62.5191162528282,1.66502129706604,93.1619520976108,20.439079713908,22.104101010974,0,22.104101010974,46.2984238287194,177.785169361413,22.104101010974,0,22.104101010974,46.2984238287194,177.785169361413,7161.41552734375,7161.41552734375,-0.199534966594283,0.985323245273899,-0.0913005579394766,-0.245980679744523
"10","P_1","S_13","E_13","hamer_2009_host_selection_by","Host Selection by Culex pipiens Mosquitoes and West Nile Virus Amplification","USA","Cook County, Southwester Chicago","Cx. pipiens complex","Cx_pipiens_sl",41.82,-87.757,"DNA",NA,636,100,3,0,18,0,515,0,0,0,0,10,929,36,28,10,929,36,28,184,0.0119936637248246,0.000678886625933469,0.955419778230369,0.00407331975560081,0.00792034396922381,0.000452591083955646,0.0030036837631057,0.000170019835647492,0.239274582034571,0.0132615471805044,0.0570133182204591,0.000170019835647492,"Nearctic",2759,1894,0,0,0.947810560838763,1.43165928460336,70.5021737410635,0.0250058727176329,81.8809585029451,0.117459188566012,0,0,0.947810560838763,1.43165928460336,70.5021737410635,0.0250058727176329,81.8809585029451,0.117459188566012,0.142465061283645,0,0.142465061283645,2.37946984544212,152.525597305292,0.142465061283645,0,0.142465061283645,2.37946984544212,152.525597305292,1101.90222167969,1101.90222167969,-0.189839274260625,0.971972277996854,-0.0945409705009976,-0.251618495514687
